iter	Passed	Remaining
0	1	132
1	1	84
2	2	69
3	2	59
4	2	55
5	3	53
6	3	50
7	4	47
8	4	45
9	4	43
10	5	42
11	5	41
12	5	39
13	6	38
14	6	37
15	6	36
16	7	35
17	7	34
18	7	33
19	8	32
20	8	32
21	8	31
22	9	30
23	9	29
24	9	29
25	10	28
26	10	28
27	10	27
28	10	26
29	11	26
30	11	25
31	11	25
32	12	24
33	12	24
34	12	23
35	12	23
36	13	22
37	13	22
38	13	21
39	14	21
40	14	20
41	14	20
42	14	19
43	15	19
44	15	18
45	15	18
46	15	17
47	16	17
48	16	17
49	16	16
50	17	16
51	17	16
52	17	15
53	17	15
54	18	14
55	18	14
56	18	14
57	19	13
58	19	13
59	19	13
60	19	12
61	20	12
62	20	12
63	20	11
64	21	11
65	21	11
66	21	10
67	22	10
68	22	10
69	22	9
70	22	9
71	23	9
72	23	8
73	23	8
74	24	8
75	24	7
76	24	7
77	25	7
78	25	6
79	25	6
80	25	6
81	26	5
82	26	5
83	26	5
84	27	4
85	27	4
86	27	4
87	28	3
88	28	3
89	28	3
90	29	2
91	29	2
92	29	2
93	30	1
94	30	1
95	30	1
96	30	0
97	31	0
98	31	0
99	31	0
