iter	Passed	Remaining
0	49	49323
1	49	24883
2	50	16665
3	50	12540
4	50	10063
5	50	8410
6	50	7228
7	51	6343
8	51	5655
9	51	5106
10	51	4657
11	52	4282
12	55	4185
13	55	3901
14	55	3653
15	55	3433
16	56	3241
17	56	3069
18	56	2916
19	56	2778
20	56	2652
21	57	2538
22	58	2494
23	58	2398
24	60	2366
25	66	2488
26	66	2402
27	67	2330
28	67	2255
29	67	2184
30	67	2118
31	68	2064
32	70	2073
33	71	2017
34	71	1964
35	71	1914
36	74	1940
37	74	1893
38	75	1848
39	75	1804
40	77	1809
41	78	1779
42	78	1740
43	78	1703
44	78	1668
45	78	1634
46	79	1601
47	83	1660
48	83	1629
49	84	1599
50	84	1570
51	84	1542
52	84	1514
53	87	1533
54	88	1517
55	88	1492
56	88	1467
57	88	1444
58	89	1422
59	89	1400
60	89	1378
61	89	1358
62	92	1378
63	92	1358
64	93	1339
65	93	1321
66	93	1303
67	93	1286
68	94	1268
69	94	1251
70	94	1235
71	94	1219
72	94	1203
73	94	1188
74	95	1173
75	95	1159
76	100	1200
77	100	1186
78	100	1173
79	100	1159
80	101	1146
81	101	1133
82	101	1119
83	101	1107
84	101	1095
85	101	1084
86	102	1072
87	102	1061
88	102	1050
89	102	1039
90	103	1029
91	103	1018
92	103	1008
93	103	998
94	106	1010
95	106	1001
96	116	1082
97	116	1071
98	116	1061
99	116	1051
100	118	1054
101	118	1045
102	118	1035
103	119	1025
104	119	1016
105	119	1007
106	119	998
107	119	989
108	120	981
109	120	972
110	120	964
111	120	956
112	120	948
113	121	940
114	121	933
115	121	925
116	121	917
117	121	910
118	121	902
119	122	895
120	122	888
121	122	881
122	129	921
123	130	918
124	130	911
125	130	904
126	130	897
127	130	891
128	130	884
129	131	878
130	131	871
131	131	865
132	131	859
133	131	853
134	132	846
135	132	840
136	132	835
137	136	849
138	136	846
139	137	844
140	137	838
141	137	832
142	137	826
143	138	821
144	138	816
145	138	810
146	138	805
147	138	799
148	139	794
149	139	789
150	139	784
151	139	779
152	139	774
153	140	769
154	140	764
155	140	759
156	140	755
157	140	750
158	141	745
159	141	741
160	141	736
161	141	732
162	141	727
163	141	723
164	142	719
165	142	714
166	150	749
167	150	745
168	150	741
169	151	741
170	152	737
171	152	733
172	152	728
173	152	724
174	152	720
175	153	716
176	153	712
177	153	708
178	153	704
179	153	700
180	153	696
181	154	692
182	154	688
183	154	685
184	154	681
185	154	677
186	155	674
187	155	670
188	155	666
189	155	663
190	155	659
191	155	656
192	156	652
193	156	649
194	156	646
195	156	643
196	161	659
